SVSPP,COMNAME,SCINAME,FISH,PD,TL
308,GOLDEN DEEPSEA CRAB,GERYON FENNERI,N,NA,NA
310,RED DEEPSEA CRAB,GERYON QUINQUEDENS,N,NA,NA
311,CANCER CRAB UNCL,CANCRIDAE,N,NA,NA
312,JONAH CRAB,CANCER BOREALIS,N,NA,NA
313,ATLANTIC ROCK CRAB,CANCER IRRORATUS,N,NA,NA
314,BLUE CRAB,CALLINECTES SAPIDUS,N,NA,NA
315,CALICO CRAB UNCL,OVALIPES ,N,NA,NA
316,BROWN ROCK SHRIMP,SICYONIA BREVIROSTRIS,N,NA,NA
317,SPIDER CRAB UNCL,MAJIDAE,N,NA,NA
318,HORSESHOE CRAB,LIMULUS POLYPHEMUS,N,NA,NA
319,GALATHEID UNCL,GALATHEIDAE,N,NA,NA
320,SWIMMING CRAB UNCL,PORTUNIDAE,N,NA,NA
321,COARSEHAND LADY CRAB,OVALIPES STEPHENSONI,N,NA,NA
322,LADY CRAB,OVALIPES OCELLATUS,N,NA,NA
323,MANTIS SHRIMP UNCL,STOMATOPODA,N,NA,NA
324,NORTHERN STONE CRAB,LITHODES MAJA,N,NA,NA
325,SNOW CRAB,CHIONOECETES OPILIO,N,NA,NA
326,GREEN CRAB,CARCINUS MAENAS,N,NA,NA
327,CALICO BOX CRAB,HEPATUS EPHELITICUS,N,NA,NA
328,FLAME BOX CRAB,CALAPPA FLAMMEA,N,NA,NA
330,SAND DOLLAR UNCL,CLYPEASTEROIDA,N,NA,NA
331,SEA URCHIN AND SAND DOLLAR UNCL,ECHINOIDEA,N,NA,NA
332,SEA STAR - BRITTLE STAR - AND BASKETS,STELLEROIDEA,N,NA,NA
333,BOREAL ASTERIAS,ASTERIAS VULGARIS,N,NA,NA
334,,ASTROPECTEN ,N,NA,NA
335,HERMIT CRAB UNCL,PAGUROIDEA,N,NA,NA
336,CHANNELED WHELK,BUSYCOTYPUS CANALICULATUS,N,NA,NA
337,KNOBBED WHELK,BUSYCON CARICA,N,NA,NA
338,MOON SNAIL SHARK EYE AND BABY-EAR,NATICIDAE,N,NA,NA
339,BOX CRAB UNCL,CALAPPIDAE,N,NA,NA
340,ICELAND SCALLOP,CHLAMYS ISLANDICA,N,NA,NA
